Model,Gorivo ,KML grad,KML autoput
SUBARU Ascent Limited/Touring,benzin,8.5028,11.05364
SUBARU Legacy,benzin,8.5028,11.90392
SUBARU Outback AWD,benzin,8.5028,11.47878
TOYOTA 4Runner,benzin,7.22738,8.92794
TOYOTA 4Runner,benzin,7.22738,8.5028
TOYOTA C-HR,benzin,11.47878,13.17934
TOYOTA Corolla,benzin,11.90392,15.30504
TOYOTA Corolla,benzin,11.47878,14.8799
TOYOTA Corolla,benzin,11.90392,14.8799
TOYOTA Highlander,benzin,8.5028,10.20336
TOYOTA Land Cruiser,benzin,5.52682,7.65252
TOYOTA Tundra,benzin,6.3771,8.07766
TOYOTA Tundra,benzin,5.95196,7.65252
TOYOTA Yaris,benzin,12.7542,14.8799
TOYOTA Yaris,benzin,12.7542,16.58046
TOYOTA Yaris,benzin,13.60448,17.0056
VOLKSWAGEN Arteon,benzin,9.35308,13.17934
VOLKSWAGEN Arteon 4Motion,benzin,8.5028,11.47878
VOLKSWAGEN Atlas,benzin,8.5028,11.05364
VOLKSWAGEN Golf R,benzin,9.77822,12.7542
VOLKSWAGEN Golf R,benzin,8.92794,12.32906
